      rus           |   lat          |      eng
Черноголовая чайка  |  Larus melanocephalus  |  Mediterranean Gull
Чайка средиземноморская  |  Larus michahellis  |  Yellow-legged Gull
Малая чайка  |  Larus minutus  |  Little Gull
Чайка монгольская  |  Larus mongolicus  |  Vega Gull
Чайка бонапартова  |  Larus philadelphia  |  Bonaparte's Gull
Франклинова чайка  |  Larus pipixcan  |  Franklin's Gull
Реликтовая чайка  |  Larus relictus  |  Relict Gull
Озерная чайка  |  Larus ridibundus  |  Black-headed Gull
Китайская чайка  |  Larus saundersi  |  Saunders's Gull
Тихоокеанская чайка  |  Larus schistisagus  |  Slaty-backed Gull
Чайка Тэйера  |  Larus thayeri  |  Thayer's Gull
Чайка восточносибирская  |  Larus vegae  |  Vega Gull
Белая чайка  |  Pagophila eburnea  |  Ivory Gull
Розовая чайка  |  Rhodostethia rosea  |  Ross's Gull
Красноногая говорушка  |  Rissa brevirostris  |  Red-legged Kittiwake
Моевка  |  Rissa tridactyla  |  Black-legged Kittiwake
Малая крачка  |  Sterna albifrons  |  Little Tern
Крачка алеутская  |  Sterna camtschatica  |  
Речная крачка  |  Sterna hirundo  |  Common Tern
Полярная крачка  |  Sterna paradisaea  |  Arctic Tern
Пестроносая крачка  |  Thalasseus sandvicensis  |  Sandwich Tern
Вилохвостая чайка  |  Xema sabini  |  Sabine's Gull
Большая конюга  |  Aethia cristatella  |  Crested Auklet
Конюга-крошка  |  Aethia pusilla  |  Least Auklet
Малая конюга  |  Aethia pygmaea  |  Whiskered Auklet
Гагарка  |  Alca torda  |  Razorbill
Люрик  |  Alle alle  |  Little
Короткоклювый пыжик  |  Brachyramphus brevirostris  |  Kittlitz's Murrelet
Длинноклювый пыжик  |  Brachyramphus marmoratus  |  Marbled Murrelet
Пыжик пестрый  |  Brachyramphus perdix  |  Long-billed Murrelet
Очковый чистик  |  Cepphus carbo  |  Spectacled Guillemot
Тихоокеанский чистик  |  Cepphus columba  |  Pigeon Guillemot
Чистик  |  Cepphus grylle  |  Black Guillemot
Тупик-носорог  |  Cerorhinca monocerata  |  Rhinoceros Auklet
Белобрюшка  |  Cyclorrhynchus psittacula  |  Parakeet Auklet
Тупик  |  Fratercula arctica  |  Atlantic Puffin
Ипатка  |  Fratercula corniculata  |  Horned Puffin
Топорик  |  Fratercula cirrhata  |  Tufted Puffin
Алеутский пыжик  |  Ptychoramphus aleuticus  |  Cassin's Auklet
Старик  |  Synthliboramphus antiquus  |  Ancient Murrelet
Хохлатый старик  |  Synthliboramphus wumizusume  |  Japanese Murrelet
Тонкоклювая кайра  |  Uria aalge  |  Common Murre
Толстоклювая кайра  |  Uria lomvia  |  Thick-billed Murre
Белобрюхий рябок  |  Pterocles alchata  |  Pin-tailed Sandgrouse
Чернобрюхий рябок  |  Pterocles orientalis  |  Black-bellied Sandgrouse
Саджа  |  Syrrhaptes paradoxus  |  Pallas's Sandgrouse
Саджа тибетская  |  Syrrhaptes tibetanus  |  Tibetan Sandgrouse
Бурый голубь  |  Columba eversmanni  |  Yellow-eyed Pigeon
Вяхирь японский  |  Columba janthina  |  Japanese Wood Pigeon
Голубь белогрудый  |  Columba leuconota  |  Snow Pigeon
Сизый голубь  |  Columba livia  |  Rock Dove
Клинтух  |  Columba oenas  |  Stock Dove
Вяхирь  |  Columba palumbus  |  Common Wood Pigeon
Скалистый голубь  |  Columba rupestris  |  Hill Pigeon
Кольчатая горлица  |  Streptopelia decaocto  |  Eurasian Collared Dove
Большая горлица  |  Streptopelia orientalis  |  Oriental Turtle Dove
Малая горлица  |  Streptopelia senegalensis  |  Laughing Dove
Короткохвостая горлица  |  Streptopelia tranquebarica  |  Turtle Dove
Обыкновенная горлица  |  Streptopelia turtur  |  Turtle Dove
Японский зеленый голубь  |  Treron sieboldii  |  White-bellied Green Pigeon
Попугай Крамера  |  Psittacula krameri  |  Rose-ringed Parakeet
Кукушка хохлатая каштановокрылая  |  Clamator coromandus  |  Chestnut-winged Cuckoo
Кукушка хохлатая  |  Clamator glandarius  |  Great Spotted Cuckoo
Обыкновенная кукушка  |  Cuculus canorus  |  Common Cuckoo
Индийская кукушка  |  Cuculus micropterus  |  Indian Cuckoo
Малая кукушка  |  Cuculus poliocephalus  |  Lesser Cuckoo
Глухая кукушка  |  Cuculus saturatus  |  Himalayan Cuckoo
Ширококрылая кукушка  |  Hierococcyx fugax  |  Hodgson's Hawk-Cuckoo
Мохноногий  |  Aegolius funereus  |  Boreal
Болотная сова  |  Asio flammeus  |  Short-eared
Ушастая сова  |  Asio otus  |  Long-eared
Домовый  |  Athene noctua  |  Little
Филин  |  Bubo bubo  |  Eurasian Eagle-Owl
Воробьиный  |  Glaucidium passerinum  |  Eurasian Pygmy-owl
Рыбный филин  |  Ketupa blakistoni  |  Blakiston's Fish
Иглоногая сова  |  Ninox scutulata  |  Brown Hawk-Owl
Белая сова  |  Nyctea scandiaca  |  Snowy
Ошейниковая совка  |  Otus bakkamoena  |  Indian Scops
Совка буланая  |  Otus brucei  |  Pallid Scops
Сплюшка  |  Otus scops  |  Eurasian Scops
Восточная совка  |  Otus sunia  |  Oriental Scops
Серая неясыть  |  Strix aluco  |  Tawny
